rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07454,0.5828,0.10446746056530233,0.419749917895681,0.8926753334174765,13.457176,17
2,MO,"ALTRIA GROUP, INC.",0.06845,0.5352,0.07322311269354365,0.43569810163933725,0.6246831908587138,15.2381935,17
3,NTAP,"NetApp, Inc.",0.06427,0.5025,0.05821095550409726,0.6783643754827753,0.7074368231046931,25.13497,16
4,DECK,DECKERS OUTDOOR CORP,0.06393,0.4999,0.07419702800480737,1.1374172086376884,0.5770385958654284,15.523323,14
5,ZTS,Zoetis Inc.,0.05842,0.4568,0.07113012744891725,0.2773885073350858,0.7183901975282561,12.550819,12
6,FISV,FISERV INC,0.0564,0.441,0.15923019061993332,0.13249855741681527,,8.759516,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.05277,0.4126,0.048843033280824184,0.36210025149732544,0.6010695711902659,36.462746,17
8,ADSK,"AUTODESK, INC.",0.05241,0.4098,0.052251925359858196,0.38218179118182255,0.9097973910630031,31.644928,8
9,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05161,0.4035,0.06726729543619929,0.23436130050077733,0.5271743531167035,17.298258,15
10,FOX,FOX CORPORATION,0.05011,0.3918,0.13805687677191042,0.1496371370554628,,13.445313,7
11,CLX,CLOROX CO /DE/,0.0454,0.355,0.06533790062830985,0.20844931787597773,0.45228040540540543,16.053333,16
12,TTD,"TRADE DESK, INC.",0.04472,0.3497,0.09104947337490818,0.14072204763134943,0.7862547319254604,21.61628,10
13,GDDY,GoDaddy Inc.,0.04465,0.3491,0.12611194829913638,0.1964472600706213,,15.242326,9
14,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04323,0.338,0.05457787321867597,0.2256595022446134,0.4271233635668601,21.452616,15
15,CHD,"CHURCH & DWIGHT CO., INC.",0.04215,0.3296,0.047036934437195824,0.12775264062120373,0.447317513541398,32.581394,16
16,RL,RALPH LAUREN CORPORATION,0.0408,0.319,0.044998467877468,0.3430018558269413,0.6986505638055333,25.706081,15
17,DG,DOLLAR GENERAL CORP,0.04021,0.3144,0.08628133298911772,0.29909193848793325,0.30660930299520633,17.989986,15
18,KO,COCA COLA CO,0.03847,0.3008,0.015092169628974379,0.31932082280032736,0.6162574831563797,26.740984,17
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.0357,0.2791,0.06502931134467063,0.13496947076597046,0.31017113991668,16.36572,15
20,GRMN,GARMIN LTD,0.03176,0.2483,0.028317801092996243,0.2102513417473349,0.5874393538958355,28.00898,15
