rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07394,0.6054,0.11681626048531371,0.419749917895681,0.8926753334174765,12.130932,17
2,MO,"ALTRIA GROUP, INC.",0.06569,0.5378,0.07538688711309523,0.43569810163933725,0.6246831908587138,15.0480175,17
3,DECK,DECKERS OUTDOOR CORP,0.0628,0.5142,0.08210788158850883,1.1374172086376884,0.5770385958654284,13.707977,14
4,NTAP,"NetApp, Inc.",0.06113,0.5005,0.05794224847421846,0.6783643754827753,0.7074368231046931,25.927559,16
5,ZTS,Zoetis Inc.,0.05606,0.459,0.07302832773682273,0.2773885073350858,0.7183901975282561,12.22459,12
6,FISV,FISERV INC,0.05386,0.441,0.16133328571368183,0.13249855741681527,,8.469492,17
7,VRSK,"Verisk Analytics, Inc.",0.05135,0.4204,0.047093008983384164,0.21890081480199106,0.6987991017671754,29.446646,15
8,ADSK,"AUTODESK, INC.",0.05074,0.4154,0.055584174957884314,0.38218179118182255,0.9097973910630031,29.921282,8
9,CL,COLGATE-PALMOLIVE COMPANY,0.05065,0.4147,0.05041546579043402,0.36210025149732544,0.6010695711902659,34.91473,17
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05005,0.4098,0.07116337354849925,0.23436130050077733,0.5271743531167035,16.071146,15
11,FOX,FOX CORPORATION,0.04912,0.4022,0.14493446242005142,0.1496371370554628,,12.942105,7
12,TTD,"TRADE DESK, INC.",0.04487,0.3674,0.10081058587922392,0.14072204763134943,0.7862547319254604,19.079546,10
13,GDDY,GoDaddy Inc.,0.04465,0.3656,0.1357984665045872,0.1964472600706213,,13.885896,9
14,MCO,Moody’s Corporation,0.0437,0.3578,0.031216209005339102,0.2463169570563605,0.7443638248250842,29.945465,17
15,CLX,CLOROX CO /DE/,0.0436,0.357,0.06709324782864033,0.20844931787597773,0.45228040540540543,15.252033,16
16,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04144,0.3393,0.055844470468546625,0.2256595022446134,0.4271233635668601,20.702515,15
17,CHD,"CHURCH & DWIGHT CO., INC.",0.04035,0.3304,0.04795625139167023,0.12775264062120373,0.447317513541398,31.641449,16
18,DG,DOLLAR GENERAL CORP,0.04012,0.3285,0.09421567098958689,0.29909193848793325,0.30660930299520633,16.288544,15
19,RL,RALPH LAUREN CORPORATION,0.03911,0.3202,0.046058993573345815,0.3430018558269413,0.6986505638055333,24.61523,15
20,KO,COCA COLA CO,0.03674,0.3008,0.015164682699786915,0.31932082280032736,0.6162574831563797,25.525156,17
