rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07444,0.5895,0.10424776462724587,0.419749917895681,0.8926753334174765,13.593482,17
2,MO,"ALTRIA GROUP, INC.",0.06857,0.543,0.07454914391878854,0.43569810163933725,0.6246831908587138,15.217119,17
3,DECK,DECKERS OUTDOOR CORPORATION,0.06558,0.5193,0.08084765568092218,1.1374172086376884,0.5770385958654284,13.90185,14
4,NTAP,"NetApp, Inc.",0.0634,0.5021,0.05618146056597396,0.6783643754827753,0.7074368231046931,26.698112,16
5,ZTS,Zoetis Inc.,0.05821,0.461,0.07079722262744957,0.2773885073350858,0.7183901975282561,12.609836,12
6,FISV,FISERV INC,0.05569,0.441,0.15411631606676734,0.13249855741681527,,8.866102,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.05267,0.4171,0.04937404927048083,0.36210025149732544,0.6010695711902659,35.651165,17
8,ADSK,"AUTODESK, INC.",0.05172,0.4096,0.0505033303200001,0.38218179118182255,0.9097973910630031,32.931488,8
9,FOX,FOX CORPORATION,0.05128,0.4061,0.14028491150274705,0.1496371370554628,,13.371053,7
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05099,0.4038,0.06529152942503232,0.23436130050077733,0.5271743531167035,17.504938,15
11,TTD,"TRADE DESK, INC.",0.04593,0.3637,0.09466498356527087,0.14072204763134943,0.7862547319254604,20.31818,10
12,CLX,CLOROX CO /DE/,0.0452,0.3579,0.06460678217107368,0.20844931787597773,0.45228040540540543,15.839025,16
13,GDDY,GoDaddy Inc.,0.04445,0.352,0.12341729813541782,0.1964472600706213,,15.278923,9
14,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04302,0.3407,0.05411051159214885,0.2256595022446134,0.4271233635668601,21.395803,15
15,CHD,"CHURCH & DWIGHT CO., INC.",0.04195,0.3322,0.04673669836996024,0.12775264062120373,0.447317513541398,32.467106,16
16,DG,DOLLAR GENERAL CORP,0.04094,0.3242,0.088052893903428,0.29909193848793325,0.30660930299520633,17.428572,15
17,RL,RALPH LAUREN CORPORATION,0.04069,0.3222,0.045058870239612483,0.3430018558269413,0.6986505638055333,25.178263,15
18,KO,COCA COLA CO,0.03798,0.3008,0.014641575864809218,0.31932082280032736,0.6162574831563797,26.437107,17
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03547,0.2809,0.06380772203068961,0.13496947076597046,0.31017113991668,16.340107,15
20,GRMN,GARMIN LTD,0.03181,0.2519,0.02914583476538405,0.2102513417473349,0.5874393538958355,27.031214,15
