rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.08,0.5979,0.09997945094701159,0.419749917895681,0.8926753334174765,14.173814,17
2,DECK,DECKERS OUTDOOR CORP,0.07565,0.5395,0.08082899540971518,1.1374172086376884,0.5770385958654284,14.180655,14
3,NTAP,"NetApp, Inc.",0.07332,0.5229,0.054743823397987716,0.6783643754827753,0.7074368231046931,27.355345,16
4,FISV,FISERV INC,0.06184,0.441,0.14909977017301537,0.13249855741681527,,9.164407,17
5,ADSK,"AUTODESK, INC.",0.06031,0.4301,0.04855601780185759,0.38218179118182255,0.9097973910630031,34.352337,8
6,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05997,0.4277,0.0660039395402708,0.23436130050077733,0.5271743531167035,17.338827,15
7,MO,"Altria Group, Inc.",0.05808,0.4142,,0.43569810163933725,0.6246831908587138,14.183717,17
8,FOX,FOX CORPORATION,0.05748,0.4099,0.13618411473500291,0.1496371370554628,,13.7736845,7
9,TTD,"TRADE DESK, INC.",0.05299,0.3779,0.09259352938137924,0.14072204763134943,0.7862547319254604,20.772728,10
10,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.05101,0.3638,0.0536684719130258,0.2256595022446134,0.4271233635668601,21.5419,15
11,GDDY,GoDaddy Inc.,0.05035,0.3591,0.11978920443017269,0.1964472600706213,,15.74168,9
12,RL,RALPH LAUREN CORPORATION,0.04852,0.346,0.04436181064548422,0.3430018558269413,0.6986505638055333,25.556953,15
13,ZTS,Zoetis Inc.,0.0477,0.3402,,0.2773885073350858,0.7183901975282561,12.463934,12
14,DG,DOLLAR GENERAL CORP,0.04732,0.3375,0.08509707665185955,0.29909193848793325,0.30660930299520633,18.05949,15
15,KO,COCA COLA CO,0.0461,0.3288,0.013908569266951417,0.31932082280032736,0.6162574831563797,26.573574,17
16,DLTR,"DOLLAR TREE, INC.",0.03807,0.2715,0.04276771655803161,0.12613927326838592,0.36351871806637553,20.63724,16
17,CLX,CLOROX CO /DE/,0.03511,0.2504,,0.20844931787597773,0.45228040540540543,15.728456,16
18,INTU,INTUIT INC.,0.03161,0.2254,0.07094941929850457,0.15150886135399302,,19.249542,16
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.02457,0.1752,,0.13496947076597046,0.31017113991668,16.55294,15
