ticker,entity,stage,status,fcf_positive_streak,fcf_cv,gross_margin_latest,roic_avg,asset_cagr,rev_cagr,net_debt_ebitda,pe,fcf_yield,score,reason
ADBE,ADOBE INC.,L4,pass_valuation,17,0.24929834690524472,0.8926753334174765,0.419749917895681,0.027821753343251432,0.10522339932516123,0.08179336413271734,13.421384,0.10558450147876122,0.5895,FCF yield 10.6% >= UST 4.6% / P/E 13 <= 30
MO,"ALTRIA GROUP, INC.",L4,pass_valuation,17,0.06102631386407717,0.6246831908587138,0.43569810163933725,-0.01778666227116943,-0.024741064227067344,2.08903098868667,15.586639,0.07278176782297974,0.5371,FCF yield 7.3% >= UST 4.6% / P/E 16 <= 30
NTAP,"NetApp, Inc.",L4,pass_valuation,16,0.2703726634052215,0.7074368231046931,0.6783643754827753,0.030499196052284905,0.028668334111952687,0.22504047490555856,25.419558,0.05919342212218109,0.5068,FCF yield 5.9% >= UST 4.6% / P/E 25 <= 30
DECK,DECKERS OUTDOOR CORP,L4,pass_valuation,14,0.5580431018804162,0.5770385958654284,1.1374172086376884,0.12994151685149902,0.1469097911350663,-1.4247278654431692,14.820513,0.07594426381290048,0.5065,FCF yield 7.6% >= UST 4.6% / P/E 15 <= 30
ZTS,Zoetis Inc.,L4,pass_valuation,12,0.21113661224434183,0.7183901975282561,0.2773885073350858,0.011961325533572653,0.054225876815096274,1.6539690341607274,12.491803,0.07146617785168359,0.4603,FCF yield 7.1% >= UST 4.6% / P/E 12 <= 30
FISV,FISERV INC,L4,pass_valuation,17,0.2597936470397302,,0.13249855741681527,-0.015074656897135164,0.06113528837230442,,8.759322,0.15599505494848484,0.441,FCF yield 15.6% >= UST 4.6% / P/E 9 <= 30
CL,COLGATE-PALMOLIVE COMPANY,L4,pass_valuation,17,0.18719578596983566,0.6010695711902659,0.36210025149732544,0.01253478305933653,0.042934601917500315,1.7017276422764227,35.631783,0.04940090360006789,0.4156,FCF yield 4.9% >= UST 4.6%
ADSK,"AUTODESK, INC.",L4,pass_valuation,8,0.36583583013984594,0.9097973910630031,0.38218179118182255,0.09722070794897886,0.12918055811635742,0.14156796390298929,31.749271,0.05238387456055057,0.412,FCF yield 5.2% >= UST 4.6%
FDS,FACTSET RESEARCH SYSTEMS INC.,L4,pass_valuation,15,0.17376967298413903,0.5271743531167035,0.23436130050077733,0.02352026822582798,0.07984113351802002,1.137545061004819,16.85046,0.06787214966650502,0.4074,FCF yield 6.8% >= UST 4.6% / P/E 17 <= 30
FOX,FOX CORPORATION,L4,pass_valuation,7,0.25695033607960155,,0.1496371370554628,0.014950779070138864,0.052662023078771325,0.3250194855806703,13.565789,0.13827113430002205,0.3981,FCF yield 13.8% >= UST 4.6% / P/E 14 <= 30
FOXA,FOX CORPORATION,L4,pass_valuation,7,0.25695033607960155,,0.1496371370554628,0.014950779070138864,0.052662023078771325,0.3250194855806703,15.126316,0.1240062055678432,0.3678,FCF yield 12.4% >= UST 4.6% / P/E 15 <= 30
CLX,CLOROX CO /DE/,L4,pass_valuation,16,0.30961053352036905,0.45228040540540543,0.20844931787597773,-0.03342015101032836,-0.00014072614877613798,1.6729241877256318,15.656911,0.0653582594250341,0.3575,FCF yield 6.5% >= UST 4.6% / P/E 16 <= 30
GDDY,GoDaddy Inc.,L4,pass_valuation,9,0.31656540900540014,,0.1964472600706213,0.04835866776475717,0.06564722266304868,2.1701101374708576,15.03011,0.1254603805893736,0.3531,FCF yield 12.5% >= UST 4.6% / P/E 15 <= 30
TTD,"TRADE DESK, INC.",L4,pass_valuation,10,0.5191189347341308,0.7862547319254604,0.14072204763134943,0.11992000906297373,0.2244193656887754,-0.9334425369271243,21.181818,0.09080524737184867,0.3529,FCF yield 9.1% >= UST 4.6% / P/E 21 <= 30
JKHY,"JACK HENRY & ASSOCIATES, INC.",L4,pass_valuation,15,0.1659963267609927,0.4271233635668601,0.2256595022446134,0.0742277573050103,0.06927595521734675,,21.391062,0.05404691559202295,0.3389,FCF yield 5.4% >= UST 4.6% / P/E 21 <= 30
CHD,"CHURCH & DWIGHT CO., INC.",L4,pass_valuation,16,0.13500794826201692,0.447317513541398,0.12775264062120373,0.02214466965987305,0.048889197884673496,1.3555471698113208,32.167763,0.04717161164136694,0.3316,FCF yield 4.7% >= UST 4.6%
RL,RALPH LAUREN CORPORATION,L4,pass_valuation,15,0.4900299237551313,0.6986505638055333,0.3430018558269413,0.044620082215383494,0.07988555170505496,-0.6771728748806113,24.932451,0.045472978761199614,0.3216,P/E 25 <= 30
DG,DOLLAR GENERAL CORP,L4,pass_valuation,15,0.4949172013778453,0.30660930299520633,0.29909193848793325,0.021102946475387574,0.04125293834210786,-0.35030950902557734,17.644978,0.08697296486194103,0.3194,FCF yield 8.7% >= UST 4.6% / P/E 18 <= 30
KO,COCA COLA CO,L4,pass_valuation,17,0.26825314704623343,0.6162574831563797,0.31932082280032736,0.041559934301033774,0.03689014114187783,-0.6933567377801783,25.8239,0.014989250025063837,0.3008,P/E 26 <= 30
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",L4,pass_valuation,15,0.34031827667115594,0.31017113991668,0.13496947076597046,0.01512128615406394,0.0646289696150486,2.03956643674676,16.04492,0.06498163042675122,0.2815,FCF yield 6.5% >= UST 4.6% / P/E 16 <= 30
