rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07363,0.5924,0.10910770375667965,0.419749917895681,0.8926753334174765,12.987993,17
2,MO,"ALTRIA GROUP, INC.",0.06683,0.5377,0.07444700988158617,0.43569810163933725,0.6246831908587138,15.237995,17
3,DECK,DECKERS OUTDOOR CORP,0.06273,0.5047,0.07648090026310503,1.1374172086376884,0.5770385958654284,14.716524,14
4,NTAP,"NetApp, Inc.",0.06229,0.5012,0.05755074936300503,0.6783643754827753,0.7074368231046931,26.103937,16
5,ZTS,Zoetis Inc.,0.05707,0.4592,0.07227236079668894,0.2773885073350858,0.7183901975282561,12.352459,12
6,FISV,FISERV INC,0.05481,0.441,0.15929310826897536,0.13249855741681527,,8.577966,17
7,VRSK,"Verisk Analytics, Inc.",0.05228,0.4206,0.04659132695266387,0.21890081480199106,0.6987991017671754,29.76372,15
8,CL,COLGATE-PALMOLIVE COMPANY,0.05164,0.4155,0.05018149534976429,0.36210025149732544,0.6010695711902659,35.077522,17
9,ADSK,"AUTODESK, INC.",0.05141,0.4136,0.05403366404449075,0.38218179118182255,0.9097973910630031,30.86988,8
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05093,0.4098,0.07030174456882789,0.23436130050077733,0.5271743531167035,16.27884,15
11,FOX,FOX CORPORATION,0.0488,0.3926,0.13848604477320586,0.1496371370554628,,13.544737,7
12,CLX,CLOROX CO /DE/,0.04423,0.3559,0.06576806983681968,0.20844931787597773,0.45228040540540543,15.55935,16
13,GDDY,GoDaddy Inc.,0.0441,0.3548,0.1288849886806994,0.1964472600706213,,14.630745,9
14,TTD,"TRADE DESK, INC.",0.0439,0.3532,0.09274574117468308,0.14072204763134943,0.7862547319254604,20.738636,10
15,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04228,0.3402,0.05559319074278143,0.2256595022446134,0.4271233635668601,20.825174,15
16,CHD,"CHURCH & DWIGHT CO., INC.",0.04128,0.3321,0.04817662974720538,0.12775264062120373,0.447317513541398,31.496712,16
17,RL,RALPH LAUREN CORPORATION,0.03959,0.3185,0.04470704302503393,0.3430018558269413,0.6986505638055333,25.359602,15
18,DG,DOLLAR GENERAL CORP,0.03955,0.3182,0.08806718710023953,0.29909193848793325,0.30660930299520633,17.425741,15
19,KO,COCA COLA CO,0.03739,0.3008,0.01501668053236476,0.31932082280032736,0.6162574831563797,25.77673,17
20,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03526,0.2837,0.06722670606643187,0.13496947076597046,0.31017113991668,15.509089,15
