ticker,entity,stage,status,fcf_positive_streak,fcf_cv,gross_margin_latest,roic_avg,asset_cagr,rev_cagr,net_debt_ebitda,pe,fcf_yield,score,reason
NEM,NEWMONT CORPORATION,L3,data_incomplete,12,0.7982078142555783,,,0.14072087432680713,0.23911830284606483,,,,,"missing: margin, ROIC"
NKE,"NIKE, Inc.",L3,data_incomplete,17,0.4335352294291448,0.42913487650329757,,0.007746713117904314,-0.032401823147472864,,,,,missing: ROIC
NVR,"NVR, Inc.",L3,data_incomplete,14,0.25782577243576005,,,0.01140784207746881,-0.006453190419072108,,,,,"missing: margin, ROIC"
NWS,NEWS CORPORATION,L3,data_incomplete,12,0.3193539372061057,,,-0.034404727108304556,-0.06634951064998074,,,,,"missing: margin, ROIC"
NWSA,NEWS CORPORATION,L3,data_incomplete,12,0.3193539372061057,,,-0.034404727108304556,-0.06634951064998074,,,,,"missing: margin, ROIC"
PCAR,PACCAR Inc,L3,data_incomplete,17,0.27029901100147613,0.20067288221397234,,0.10038490938225975,-0.004355093626742135,,,,,missing: ROIC
PHM,"PULTEGROUP, INC.",L3,data_incomplete,10,0.37040856024992963,,,0.06846411508025385,0.021766075711068034,,,,,"missing: margin, ROIC"
PM,Philip Morris International Inc.,L3,data_incomplete,17,0.10924168256408344,0.6711769336744735,,0.0390110820108176,0.08570152245500418,-0.2884888678351492,,,,missing: ROIC
PPL,PPL Corp,L3,data_incomplete,0,,,0.052229621060846165,,,,,,,"missing: asset growth, revenue growth"
PSKY,Paramount Skydance Corporation,L3,data_incomplete,1,,,-0.4944185770281506,,,,,,,"missing: asset growth, revenue growth"
PSX,Phillips 66,L3,data_incomplete,0,,0.12300568078805826,,-0.012192031308796425,-0.0799841840778086,,,,,missing: ROIC
Q,"QNITY ELECTRONICS, INC.",L3,data_incomplete,1,,0.4617164493058477,0.07552957654859829,,,2.287241625089095,,,,"missing: asset growth, revenue growth"
ROP,ROPER TECHNOLOGIES INC,L3,data_incomplete,,,0.6924391015501423,0.05853106213506653,0.08620257768316453,0.13731706743631933,2.595724169218555,,,,missing: consecutive positive FCF
SNDK,Sandisk Corporation,L3,data_incomplete,0,,0.3007477906186268,-0.11350479966611018,,,,,,,"missing: asset growth, revenue growth"
SPGI,S&P Global Inc.,L3,data_incomplete,16,0.3157864051512609,0.7024647887323944,0.11806654516404688,,,1.4813895781637718,,,,"missing: asset growth, revenue growth"
STX,Seagate Technology Holdings plc,L3,data_incomplete,15,0.25054637526647544,0.3517643179070023,0.5026119834618733,,,1.9168612797758058,,,,"missing: asset growth, revenue growth"
TPL,Texas Pacific Land Corporation,L3,data_incomplete,,,,0.9994977839597231,0.22761061808973504,0.061455817167499704,-0.8842808252969189,,,,missing: consecutive positive FCF
VEEV,Veeva Systems Inc.,L3,data_incomplete,,,0.7552604425672493,0.12177533798253269,0.231794521212761,0.14029684526801778,-1.5575539568345325,,,,missing: consecutive positive FCF
VRSN,VERISIGN INC/CA,L3,data_incomplete,17,0.14530579790542805,0.881504285886756,,-0.08545728884268367,0.05150438997980311,-0.2672279118208644,,,,missing: ROIC
VZ,VERIZON COMMUNICATIONS INC,L3,data_incomplete,,,,0.21575614339850963,0.021128272121452296,0.003292396665705022,0.1120183463118369,,,,missing: consecutive positive FCF
WEC,"WEC ENERGY GROUP, INC.",L3,data_incomplete,,,0.6667585024642606,0.05903888179218407,0.07154955535895491,0.006991111598761979,5.066069318629381,,,,missing: consecutive positive FCF
XOM,EXXON MOBIL CORP,L3,data_incomplete,0,,,,,,,,,,"missing: margin, ROIC, asset growth, revenue growth"
YUM,"YUM! BRANDS, INC.",L3,data_incomplete,14,0.13944225646451686,0.6977112247382518,,0.11926272690182604,0.06281386051452831,-0.24136690647482015,,,,missing: ROIC
BF.B,,L1,no_edgar,,,,,,,,,,,No CIK in EDGAR / fetch failed
ADBE,ADOBE INC.,L4,pass_valuation,17,0.24929834690524472,0.8926753334174765,0.419749917895681,0.027821753343251432,0.10522339932516123,0.08179336413271734,12.987993,0.10910770375667965,0.5924,FCF yield 10.9% >= UST 4.6% / P/E 13 <= 30
ADSK,"AUTODESK, INC.",L4,pass_valuation,8,0.36583583013984594,0.9097973910630031,0.38218179118182255,0.09722070794897886,0.12918055811635742,0.14156796390298929,30.86988,0.05403366404449075,0.4136,FCF yield 5.4% >= UST 4.6%
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",L4,pass_valuation,15,0.34031827667115594,0.31017113991668,0.13496947076597046,0.01512128615406394,0.0646289696150486,2.03956643674676,15.509089,0.06722670606643187,0.2837,FCF yield 6.7% >= UST 4.6% / P/E 16 <= 30
CHD,"CHURCH & DWIGHT CO., INC.",L4,pass_valuation,16,0.13500794826201692,0.447317513541398,0.12775264062120373,0.02214466965987305,0.048889197884673496,1.3555471698113208,31.496712,0.04817662974720538,0.3321,FCF yield 4.8% >= UST 4.6%
CL,COLGATE-PALMOLIVE COMPANY,L4,pass_valuation,17,0.18719578596983566,0.6010695711902659,0.36210025149732544,0.01253478305933653,0.042934601917500315,1.7017276422764227,35.077522,0.05018149534976429,0.4155,FCF yield 5.0% >= UST 4.6%
CLX,CLOROX CO /DE/,L4,pass_valuation,16,0.30961053352036905,0.45228040540540543,0.20844931787597773,-0.03342015101032836,-0.00014072614877613798,1.6729241877256318,15.55935,0.06576806983681968,0.3559,FCF yield 6.6% >= UST 4.6% / P/E 16 <= 30
