rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07431,0.5999,0.11350479074974582,0.419749917895681,0.8926753334174765,12.484849,17
2,MO,"ALTRIA GROUP, INC.",0.06671,0.5385,0.07529288045636078,0.43569810163933725,0.6246831908587138,15.066806,17
3,DECK,DECKERS OUTDOOR CORP,0.06254,0.5049,0.07710784972430472,1.1374172086376884,0.5770385958654284,14.576102,14
4,NTAP,"NetApp, Inc.",0.06192,0.4999,0.05728120677300855,0.6783643754827753,0.7074368231046931,26.22677,16
5,ZTS,Zoetis Inc.,0.05706,0.4606,0.07340237540401079,0.2773885073350858,0.7183901975282561,12.162295,12
6,FISV,FISERV INC,0.05463,0.441,0.16053014670568927,0.13249855741681527,,8.511865,17
7,VRSK,"Verisk Analytics, Inc.",0.05223,0.4216,0.04731098603828517,0.21890081480199106,0.6987991017671754,29.310976,15
8,ADSK,"AUTODESK, INC.",0.05167,0.4171,0.056064900425623836,0.38218179118182255,0.9097973910630031,29.751461,8
9,CL,COLGATE-PALMOLIVE COMPANY,0.05125,0.4137,0.04956265057356917,0.36210025149732544,0.6010695711902659,35.515503,17
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05078,0.4099,0.07080060581194811,0.23436130050077733,0.5271743531167035,16.142859,15
11,FOX,FOX CORPORATION,0.04894,0.3951,0.14078366210532695,0.1496371370554628,,13.323685,7
12,GDDY,GoDaddy Inc.,0.04478,0.3615,0.13309464408783356,0.1964472600706213,,14.167988,9
13,TTD,"TRADE DESK, INC.",0.0445,0.3592,0.09628042044564201,0.14072204763134943,0.7862547319254604,19.977272,10
14,CLX,CLOROX CO /DE/,0.04398,0.355,0.06571999439159903,0.20844931787597773,0.45228040540540543,15.570732,16
15,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04233,0.3417,0.056637308880586434,0.2256595022446134,0.4271233635668601,20.41271,15
16,CHD,"CHURCH & DWIGHT CO., INC.",0.04089,0.3301,0.04749214869704611,0.12775264062120373,0.447317513541398,31.950657,16
17,DG,DOLLAR GENERAL CORP,0.03981,0.3214,0.09023517767427276,0.29909193848793325,0.30660930299520633,17.00707,15
18,RL,RALPH LAUREN CORPORATION,0.03928,0.3171,0.04422086547690134,0.3430018558269413,0.6986505638055333,25.587576,15
19,KO,COCA COLA CO,0.03726,0.3008,0.014974663484657142,0.31932082280032736,0.6162574831563797,25.849054,17
20,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03514,0.2837,0.06764185717582889,0.13496947076597046,0.31017113991668,15.413902,15
