rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07405,0.5871,0.09946587469816262,0.419749917895681,0.8926753334174765,14.263309,17
2,MO,"ALTRIA GROUP, INC.",0.06872,0.5448,0.07262612681479913,0.43569810163933725,0.6246831908587138,15.620042,17
3,DECK,DECKERS OUTDOOR CORPORATION,0.06539,0.5184,0.07753890690381489,1.1374172086376884,0.5770385958654284,14.782361,14
4,NTAP,"NetApp, Inc.",0.06348,0.5033,0.05465886612388584,0.6783643754827753,0.7074368231046931,27.485039,16
5,ZTS,Zoetis Inc.,0.05871,0.4655,0.07025831855734319,0.2773885073350858,0.7183901975282561,12.706558,12
6,FISV,FISERV INC,0.05562,0.441,0.14871471169465694,0.13249855741681527,,9.188135,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.05301,0.4203,0.048974714919958,0.36210025149732544,0.6010695711902659,35.941864,17
8,FOX,FOX CORPORATION,0.05198,0.4121,0.13805687677191042,0.1496371370554628,,13.586843,7
9,ADSK,"AUTODESK, INC.",0.05151,0.4084,0.04806305454446052,0.38218179118182255,0.9097973910630031,34.654015,8
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05045,0.4,0.06115833633470955,0.23436130050077733,0.5271743531167035,18.700262,15
11,TTD,"TRADE DESK, INC.",0.04538,0.3598,0.08950871914882343,0.14072204763134943,0.7862547319254604,21.488636,10
12,CLX,CLOROX CO /DE/,0.04528,0.359,0.06273272141492425,0.20844931787597773,0.45228040540540543,16.312195,16
13,GDDY,GoDaddy Inc.,0.04344,0.3444,0.11561078463587628,0.1964472600706213,,16.310617,9
14,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04311,0.3418,0.05258099319266482,0.2256595022446134,0.4271233635668601,21.987429,15
15,CHD,"CHURCH & DWIGHT CO., INC.",0.04223,0.3348,0.04616143426845836,0.12775264062120373,0.447317513541398,32.87171,16
16,DG,DOLLAR GENERAL CORP,0.04125,0.327,0.08613064608575446,0.29909193848793325,0.30660930299520633,17.81754,15
17,RL,RALPH LAUREN CORPORATION,0.04121,0.3267,0.04535491926435856,0.3430018558269413,0.6986505638055333,24.964285,15
18,KO,COCA COLA CO,0.03794,0.3008,0.01394491165161874,0.31932082280032736,0.6162574831563797,27.75786,17
19,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03548,0.2813,0.061629436194716634,0.13496947076597046,0.31017113991668,16.917646,15
20,GRMN,GARMIN LTD,0.03175,0.2517,0.02786119006123112,0.2102513417473349,0.5874393538958355,28.27759,15
