rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07418,0.5963,0.1101013099559361,0.419749917895681,0.8926753334174765,12.878147,17
2,MO,"ALTRIA GROUP, INC.",0.06704,0.5389,0.07444700988158617,0.43569810163933725,0.6246831908587138,15.237995,17
3,DECK,DECKERS OUTDOOR CORPORATION,0.06444,0.518,0.08227031954206801,1.1374172086376884,0.5770385958654284,13.66145,14
4,NTAP,"NetApp, Inc.",0.06227,0.5006,0.056871416938851664,0.6783643754827753,0.7074368231046931,26.374214,16
5,ZTS,Zoetis Inc.,0.05727,0.4604,0.07227236079668894,0.2773885073350858,0.7183901975282561,12.352459,12
6,FISV,FISERV INC,0.05486,0.441,0.15801301802734952,0.13249855741681527,,8.647457,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.05174,0.4159,0.050043253411228415,0.36210025149732544,0.6010695711902659,35.17442,17
8,ADSK,"AUTODESK, INC.",0.05164,0.4151,0.05439431388047702,0.38218179118182255,0.9097973910630031,30.575802,8
9,FOX,FOX CORPORATION,0.05063,0.407,0.14425980019471868,0.1496371370554628,,13.002632,7
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05058,0.4066,0.06825371811083142,0.23436130050077733,0.5271743531167035,16.767303,15
11,TTD,"TRADE DESK, INC.",0.04547,0.3655,0.0978952950771448,0.14072204763134943,0.7862547319254604,19.647728,10
12,MCO,MOODY'S CORPORATION,0.04466,0.359,0.03126520195469271,0.2463169570563605,0.7443638248250842,29.89854,17
13,CLX,CLOROX CO /DE/,0.04442,0.3571,0.06586443204512747,0.20844931787597773,0.45228040540540543,15.536586,16
14,GDDY,GoDaddy Inc.,0.0441,0.3545,0.1277228597242299,0.1964472600706213,,14.763867,9
15,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04226,0.3397,0.05497294363515645,0.2256595022446134,0.4271233635668601,21.030727,15
16,CHD,"CHURCH & DWIGHT CO., INC.",0.04115,0.3308,0.047244082355454194,0.12775264062120373,0.447317513541398,32.11842,16
17,DG,DOLLAR GENERAL CORP,0.04093,0.329,0.092552050462209,0.29909193848793325,0.30660930299520633,16.58133,15
18,RL,RALPH LAUREN CORPORATION,0.03999,0.3215,0.04582597704591931,0.3430018558269413,0.6986505638055333,24.691341,15
19,KO,COCA COLA CO,0.03742,0.3008,0.014965559052722266,0.31932082280032736,0.6162574831563797,25.864779,17
20,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03497,0.2811,0.06546161709318882,0.13496947076597046,0.31017113991668,15.910256,15
