rank,ticker,entity,weight,score,fcf_yield,roic,margin,pe,fcf_positive_years
1,ADBE,ADOBE INC.,0.07417,0.5805,0.09408536102375141,0.419749917895681,0.8926753334174765,15.061749,17
2,MO,"ALTRIA GROUP, INC.",0.07008,0.5485,0.07252919054723864,0.43569810163933725,0.6246831908587138,15.640919,17
3,DECK,DECKERS OUTDOOR CORPORATION,0.06686,0.5233,0.07782347951247491,1.1374172086376884,0.5770385958654284,14.749288,14
4,NTAP,"NetApp, Inc.",0.06479,0.5071,0.05506905471124033,0.6783643754827753,0.7074368231046931,27.280315,16
5,ZTS,Zoetis Inc.,0.05986,0.4685,0.06987966699549979,0.2773885073350858,0.7183901975282561,12.77541,12
6,FISV,FISERV INC,0.05634,0.441,0.1449186468368549,0.13249855741681527,,9.428814,17
7,CL,COLGATE-PALMOLIVE COMPANY,0.0539,0.4219,0.04857659076123492,0.36210025149732544,0.6010695711902659,36.236435,17
8,FOX,FOX CORPORATION,0.05283,0.4135,0.13517688085543794,0.1496371370554628,,13.876316,7
9,ADSK,"AUTODESK, INC.",0.05204,0.4073,0.04652072411938374,0.38218179118182255,0.9097973910630031,35.75073,8
10,FDS,FACTSET RESEARCH SYSTEMS INC.,0.05163,0.4041,0.06155515537157888,0.23436130050077733,0.5271743531167035,18.56748,15
11,CLX,CLOROX CO /DE/,0.04642,0.3633,0.06316718894881128,0.20844931787597773,0.45228040540540543,16.199999,16
12,TTD,"TRADE DESK, INC.",0.04637,0.3629,0.08866473181236673,0.14072204763134943,0.7862547319254604,21.693182,10
13,GDDY,GoDaddy Inc.,0.04414,0.3455,0.11321276960410628,0.1964472600706213,,16.656101,9
14,JKHY,"JACK HENRY & ASSOCIATES, INC.",0.04366,0.3417,0.0513672099632088,0.2256595022446134,0.4271233635668601,22.475592,15
15,RL,RALPH LAUREN CORPORATION,0.04209,0.3294,0.04556981397759512,0.3430018558269413,0.6986505638055333,24.879469,15
16,DG,DOLLAR GENERAL CORP,0.04186,0.3276,0.08431673853433783,0.29909193848793325,0.30660930299520633,18.200848,15
17,KO,COCA COLA CO,0.03843,0.3008,0.013816448142806498,0.31932082280032736,0.6162574831563797,28.012579,17
18,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.03625,0.2837,0.06123457594716719,0.13496947076597046,0.31017113991668,17.026737,15
19,DLTR,"DOLLAR TREE, INC.",0.03212,0.2514,0.04264169021339159,0.12613927326838592,0.36351871806637553,20.731512,16
20,INTU,INTUIT INC.,0.02617,0.2048,0.06719461306393092,0.15150886135399302,,20.312805,16
